2022-05-26 20:40:50.671 [] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3394 ms
2022-05-26 20:40:50.915 [] [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022-05-26 20:40:50.921 [] [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@5a45c218
2022-05-26 20:40:55.772 [] [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-05-26 20:40:59.518 [] [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2,slave} inited
2022-05-26 20:40:59.518 [] [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-05-26 20:40:59.519 [] [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-05-26 20:40:59.519 [] [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-05-26 20:40:59.999 [] [main] INFO  org.redisson.Version - Redisson 3.15.2
2022-05-26 20:41:05.819 [] [redisson-netty-2-27] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for cn-test-2.cache.doublefs.com/172.16.1.57:6379
2022-05-26 20:41:06.073 [] [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for cn-test-2.cache.doublefs.com/172.16.1.57:6379
2022-05-26 20:41:07.024 [] [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-05-26 20:41:07.030 [] [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} closing ...
2022-05-26 20:41:07.038 [] [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} closed
2022-05-26 20:41:07.040 [] [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-05-26 20:41:07.042 [] [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-05-26 20:41:07.042 [] [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-05-26 20:41:07.045 [] [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-05-26 20:41:07.085 [] [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
